mois;pluviometrie
1;1.4
1;0.0
1;0.0
1;0.0
1;0.8
1;0.0
1;2.0
1;3.0
1;2.2
1;0.0
1;1.2
1;12.5
1;12.8
1;0.0
1;0.0
1;0.2
1;3.8
1;0.0
1;0.0
1;1.8
1;0.0
1;0.8
1;2.4
1;0.0
1;0.4
1;1.4
1;9.0
1;1.6
1;2.6
1;3.6
1;4.4
2;6.7
2;1.4
2;1.8
2;0.0
2;0.0
2;0.0
2;6.2
2;0.4
2;0.0
2;6.2
2;1.8
2;0.0
2;0.0
2;0.0
2;0.2
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;0.0
2;1.0
3;7.9
3;0.6
3;0.0
3;2.0
3;0.0
3;6.7
3;5.0
3;0.6
3;3.0
3;2.0
3;2.4
3;6.3
3;4.0
3;31.2
3;2.1
3;0.0
3;7.4
3;1.4
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
3;0.0
4;0.0
4;7.8
4;21.2
4;6.0
4;0.0
4;1.4
4;1.8
4;0.0
4;0.0
4;0.8
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;1.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;0.0
4;5.6
4;15.9
4;0.8
4;11.2
4;9.2
4;0.0
4;0.0
5;0.0
5;27.1
5;0.0
5;12.7
5;0.2
5;0.4
5;1.0
5;11.1
5;4.0
5;2.4
5;3.0
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;1.0
5;4.8
5;0.2
5;0.8
5;0.2
5;0.0
5;0.0
5;0.0
5;0.0
5;0.0
5;4.2
5;5.0
5;0.0
5;0.0
5;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;2.6
6;0.0
6;0.0
6;0.0
6;17.3
6;5.4
6;47.0
6;0.2
6;0.0
6;13.3
6;1.2
6;0.0
6;0.2
6;0.0
6;6.8
6;0.8
6;0.4
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
6;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;3.2
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.0
7;0.2
7;0.0
7;0.0
7;0.0
7;0.0
7;14.5
7;0.2
7;0.0
7;0.0
7;0.0
7;0.0
7;16.3
7;6.0
7;5.8
7;0.2
7;0.0
7;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.2
8;1.6
8;28.8
8;0.2
8;15.1
8;0.2
8;13.8
8;0.2
8;0.0
8;0.0
8;2.4
8;0.0
8;0.0
8;19.3
8;0.0
8;0.2
8;0.0
8;0.2
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
8;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;3.2
9;3.4
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;0.0
9;10.9
9;0.2
9;4.6
9;12.4
9;0.6
9;4.6
9;0.0
9;1.4
9;0.0
10;0.0
10;2.4
10;0.2
10;6.8
10;6.8
10;11.1
10;7.1
10;10.3
10;7.5
10;0.6
10;0.2
10;0.2
10;0.0
10;4.2
10;16.4
10;0.0
10;2.6
10;20.2
10;32.2
10;22.7
10;0.8
10;0.0
10;0.0
10;0.0
10;0.0
10;0.0
10;0.2
10;0.4
10;0.0
10;0.0
10;2.8
11;7.4
11;32.4
11;2.2
11;8.5
11;20.0
11;3.0
11;1.8
11;0.8
11;0.0
11;0.0
11;1.2
11;2.4
11;0.0
11;4.6
11;0.0
11;0.0
11;14.2
11;0.6
11;0.0
11;0.0
11;4.6
11;0.0
11;0.0
11;0.2
11;0.2
11;4.2
11;1.0
11;14.0
11;9.9
11;8.7
12;3.0
12;0.0
12;0.0
12;0.0
12;0.0
12;2.2
12;0.2
12;3.8
12;5.8
12;0.0
12;10.2
12;5.6
12;5.0
12;8.3
12;3.0
12;0.0
12;6.7
12;0.4
12;0.0
12;22.4
12;0.0
12;14.5
12;6.0
12;5.4
12;2.0
12;15.3
12;4.8
12;0.0
12;0.0
12;0.0
12;0.0
